                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.86623,                0.82573,                 1.0805,                 0.9926,                0.97162,                0.99312,                0.81527,                0.77863,                0.73043,                 0.9951,             0.00014144,             0.00014144,             0.00014144
                     84,                0.89807,                 0.7966,                 1.0645,                0.99101,                0.97133,                0.99348,                0.81661,                0.77303,                0.72802,                 1.0014,             0.00013437,             0.00013437,             0.00013437
                     85,                0.86978,                0.78431,                 1.0714,                0.99154,                 0.9681,                0.99308,                0.80964,                0.79452,                0.72653,                 1.0092,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.8538,                0.77114,                  1.073,                0.98502,                0.97776,                0.99333,                 0.8081,                0.78912,                0.72128,                 1.0004,             0.00012024,             0.00012024,             0.00012024
                     87,                 0.8835,                0.79148,                 1.0824,                0.99069,                0.98453,                0.99442,                0.81758,                0.76236,                0.69468,                 0.9873,             0.00011317,             0.00011317,             0.00011317
                     88,                0.86121,                0.78426,                 1.0656,                0.99322,                0.98661,                0.99445,                0.81318,                0.77674,                 0.6905,                 0.9873,              0.0001061,              0.0001061,              0.0001061
                     89,                0.87347,                  0.756,                 1.0714,                0.99231,                0.98543,                0.99451,                0.81784,                0.77247,                0.69188,                0.98836,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.89447,                0.81719,                 1.0865,                0.99395,                0.99162,                0.99461,                0.83312,                0.75429,                 0.6873,                0.98259,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.80017,                0.77625,                 1.0423,                0.99382,                0.99004,                0.99425,                0.83276,                0.75135,                0.69252,                 0.9734,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.81081,                0.76898,                 1.0253,                0.99132,                0.98627,                0.99348,                0.83083,                0.77384,                0.71544,                0.97353,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.79992,                 0.7669,                 1.0367,                0.99177,                0.98166,                0.99331,                0.82752,                0.78126,                 0.7178,                0.97234,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.81214,                0.76461,                 1.0366,                0.99166,                0.98201,                0.99331,                0.82752,                0.77568,                0.71419,                0.96808,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.79678,                0.77921,                 1.0327,                0.99215,                0.97885,                 0.9926,                0.82383,                0.76959,                0.72298,                 0.9695,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.78713,                0.73945,                 1.0156,                0.99176,                0.97959,                0.99321,                0.82936,                0.75456,                0.71752,                0.96752,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.77174,                0.71216,                 1.0157,                0.98935,                0.97733,                0.99307,                0.83127,                0.74972,                0.71707,                0.96656,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.80129,                 0.7524,                 1.0295,                0.98711,                 0.9739,                0.99216,                 0.8327,                0.74884,                0.72464,                0.96754,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.77891,                0.73197,                  1.022,                0.98995,                0.98324,                0.99349,                0.83577,                0.74629,                0.70607,                0.96544,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.78815,                0.73666,                  1.033,                0.99021,                0.97888,                0.99307,                0.83219,                0.75056,                0.70983,                0.96692,             2.1277e-05,             2.1277e-05,             2.1277e-05
